球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
安德鲁-博古特,67,1400,56.70%,164,289,0.00%,0,3,39.70%,25,63,486,119,36,90,80,221,353
约翰-巴特尔,55,719,42.90%,124,289,18.20%,4,22,84.80%,95,112,72,80,13,1,55,70,347
奎因·巴克纳,68,1057,43.90%,148,337,0.00%,0,0,61.00%,50,82,115,170,64,1,95,170,346
肯尼-安德森,36,1004,40.60%,132,325,27.60%,8,29,79.60%,74,93,85,135,42,1,58,89,346
达雷尔-阿姆斯特朗,51,1119,39.80%,113,284,28.70%,39,136,90.00%,81,90,117,127,48,6,83,96,346
布莱尔-拉斯姆森,29,632,44.30%,140,316,0.00%,0,0,80.20%,65,81,180,25,10,27,21,84,345
钱宁-弗莱,49,861,46.00%,120,261,44.40%,76,171,87.90%,29,33,156,34,21,22,15,103,345
伊塞亚-莱德尔,21,753,41.80%,114,273,34.00%,18,53,86.00%,98,114,78,65,19,0,61,52,344
奈伊尔-约翰斯顿,23,702,39.00%,121,310,0.00%,0,0,73.40%,102,139,257,75,0,0,0,76,344
弗拉迪米尔-拉德马诺维奇,47,987,44.00%,128,291,39.60%,63,159,73.50%,25,34,165,54,27,11,41,115,344
布鲁克-洛佩斯,20,695,47.90%,126,263,36.40%,12,33,84.90%,79,93,140,25,11,51,27,56,343
马文-威廉姆斯,49,1227,36.80%,117,318,36.50%,19,52,83.20%,89,107,208,36,31,22,41,87,342
布拉德-戴维斯,45,950,53.00%,125,236,43.80%,14,32,84.60%,77,91,75,167,16,6,74,89,341
戴尔-库里,51,891,40.00%,126,315,35.00%,41,117,87.00%,47,54,87,57,40,7,41,81,340
杰拉德-格林,65,785,39.40%,121,307,37.80%,71,188,84.40%,27,32,111,15,13,13,29,87,340
加里-尼尔,45,822,40.10%,126,314,34.50%,48,139,90.70%,39,43,89,43,6,2,34,74,339
布兰登-海伍德,54,1139,56.10%,119,212,0.00%,0,0,59.80%,101,169,263,29,31,70,42,164,339
鲍伯-哈里森,59,0,38.50%,138,358,0.00%,0,0,68.90%,62,90,0,118,0,0,0,189,338
乔-史密斯,62,1078,45.10%,128,284,37.50%,3,8,78.00%,78,100,243,20,23,38,34,151,337
博扬-博格达诺维奇,30,856,40.00%,116,290,35.20%,51,145,80.30%,53,66,126,43,24,3,35,59,336
迪克-范阿斯戴尔,34,968,42.20%,124,294,0.00%,0,0,83.80%,88,105,82,94,0,0,0,89,336
阿隆-布鲁克斯,40,703,41.60%,123,296,33.00%,37,112,74.60%,53,71,68,70,9,5,48,59,336
霍华德-波特,36,663,45.90%,151,329,0.00%,0,0,84.60%,33,39,152,18,0,0,0,59,335
Slick0Leonard,34,924,35.70%,130,364,0.00%,0,0,75.50%,74,98,90,165,0,0,0,77,334
埃里克-布莱索,31,697,49.30%,132,268,29.20%,21,72,67.10%,49,73,88,101,32,17,51,64,334
贾马尔-马格洛伊尔,46,911,47.00%,109,232,0.00%,0,1,68.20%,116,170,244,23,10,40,52,115,334
卡蒂诺-莫布里,26,935,42.20%,128,303,33.70%,28,83,86.00%,49,57,99,58,19,8,52,66,333
埃内斯-坎特,35,678,53.80%,133,247,17.60%,3,17,85.30%,64,75,218,18,13,26,35,77,333
帕特里克-贝弗利,34,1051,39.60%,122,308,36.60%,52,142,82.20%,37,45,189,100,34,15,42,121,333
乔尔-恩比德,15,464,44.40%,110,248,28.80%,15,52,78.00%,96,123,179,48,11,31,50,50,331
坎比-拉塞尔,20,605,41.70%,120,288,0.00%,0,0,84.30%,91,108,121,44,18,10,0,79,331
达蒙-琼斯,59,1169,42.70%,114,267,38.20%,71,186,66.00%,31,47,107,146,19,0,36,80,330
吉姆-克莱布斯,62,1129,36.20%,127,351,0.00%,0,0,78.10%,75,96,348,53,0,0,0,211,329
弗林-罗宾逊,27,626,40.60%,129,318,0.00%,0,0,79.50%,70,88,54,76,0,0,0,57,328
艾尔伯特-金,21,624,45.30%,135,298,33.30%,3,9,73.00%,54,74,110,49,26,8,47,81,327
琼-巴里,62,928,40.40%,109,270,40.30%,60,149,85.70%,48,56,118,85,32,3,52,69,326
迈克-纽林,22,682,50.00%,135,270,0.00%,0,0,84.60%,55,65,73,103,28,1,0,72,325
萨沙-武贾西奇,65,954,36.60%,105,287,38.40%,63,164,87.90%,51,58,107,42,29,8,37,104,324
C.J.0Miles,44,822,40.70%,111,273,31.50%,45,143,84.80%,56,66,93,42,20,12,38,100,323
Chick0Halbert,26,0,26.60%,106,399,0.00%,0,0,60.30%,111,184,0,10,0,0,0,84,323
柯蒂斯-罗威,28,927,48.10%,127,264,0.00%,0,0,72.60%,69,95,220,62,11,23,0,85,323
艾森-伊利亚索瓦,40,871,40.20%,119,296,29.00%,29,100,74.70%,56,75,255,40,25,13,39,81,323
乔治-塞内斯基,32,0,32.00%,125,391,0.00%,0,0,69.90%,72,103,0,51,0,0,0,71,322
吉姆-琼恩斯,36,959,43.60%,136,312,0.00%,0,0,64.10%,50,78,223,47,13,20,0,116,322
肯达尔-吉尔,27,796,40.80%,128,314,25.90%,7,27,68.60%,59,86,100,56,39,10,37,74,322
Pep0Saul,49,0,42.80%,116,271,0.00%,0,0,73.00%,89,122,0,87,0,0,0,119,321
吉姆-巴奈特,30,669,41.90%,127,303,0.00%,0,0,80.70%,67,83,74,78,0,0,0,64,321
斯波特-韦伯,39,725,45.80%,114,249,30.40%,7,23,81.90%,86,105,85,198,30,2,51,64,321
雷-斯科特,25,782,39.00%,130,333,0.00%,0,0,59.80%,61,102,246,60,0,0,0,82,321
吉姆-劳斯库托夫,58,997,32.40%,136,420,0.00%,0,0,60.80%,48,79,299,32,0,0,0,219,320
迪-布朗,31,782,44.90%,122,272,29.10%,16,55,85.70%,60,70,88,112,23,15,44,79,320
马利斯-斯贝茨,60,585,41.00%,120,293,39.70%,25,63,67.10%,55,82,152,24,14,22,34,104,320
鲍伯-费里,42,681,45.10%,115,255,0.00%,0,0,62.10%,90,145,198,46,0,0,0,70,320
罗纳德-穆雷,45,1035,33.90%,109,322,25.60%,23,90,82.10%,78,95,100,78,27,8,34,67,319
丹尼尔-吉布森,50,881,41.50%,100,241,40.70%,57,140,87.10%,61,70,61,55,20,9,33,73,318
文-贝克,24,749,49.10%,138,281,50.00%,1,2,53.40%,39,73,169,33,29,25,44,88,316
迈尔-哈特金斯,27,1024,35.50%,118,332,0.00%,0,0,66.10%,80,121,237,70,0,0,0,100,316
唐耶尔-马绍尔,47,884,39.90%,117,293,34.50%,40,116,77.40%,41,53,190,32,16,25,34,87,315
尼古拉-米罗蒂奇,33,781,40.20%,109,271,35.10%,52,148,80.40%,45,56,169,38,25,22,29,73,315
杰森-科林斯,95,2042,40.00%,102,255,0.00%,0,2,67.70%,111,164,365,48,41,36,91,344,315
贾莱特-杰克,24,690,48.80%,118,242,27.30%,12,44,87.00%,67,77,93,96,19,6,66,44,315
迈克-布拉茨,37,666,45.40%,119,262,0.00%,0,0,78.80%,63,80,59,96,33,3,56,82,315
杰夫-卢兰德,17,640,52.10%,110,211,0.00%,0,4,77.50%,93,120,163,67,14,13,71,60,313
达内尔-瓦伦丁,26,707,46.00%,114,248,50.00%,1,2,88.40%,84,95,50,177,40,4,56,79,313
克里夫-莱温斯顿,82,1047,50.20%,120,239,50.00%,2,4,66.70%,70,105,233,33,27,37,42,162,312
汤姆-伯尔森,15,572,54.20%,123,227,0.00%,0,0,75.60%,65,86,153,23,13,26,0,54,311
奥托-波特,31,925,49.00%,118,241,33.30%,28,84,71.90%,46,64,195,49,39,14,19,48,310
帕特里克-帕特森,47,1132,43.10%,109,253,33.80%,45,133,85.20%,46,54,169,61,21,14,36,61,309
查基-阿特金斯,36,846,37.40%,107,286,35.50%,39,110,80.00%,56,70,62,87,28,1,46,81,309
鲍伯-格罗斯,25,694,58.40%,122,209,0.00%,0,0,85.10%,63,74,124,89,35,17,0,101,307
阿德里安-史密斯,36,746,37.90%,107,282,0.00%,0,0,82.10%,92,112,61,80,0,0,0,60,306
鲁迪-戈波特,25,780,63.70%,114,179,0.00%,0,0,58.80%,77,131,258,29,22,50,39,80,305
毕森-德勒,39,791,52.90%,126,238,0.00%,0,0,61.20%,52,85,210,25,26,22,48,139,304
米奇-约翰逊,22,559,46.60%,109,234,0.00%,0,0,83.20%,84,101,129,40,24,13,0,74,302
阿尔蒙-吉列姆,34,692,44.40%,111,250,0.00%,0,1,78.40%,80,102,156,18,14,20,40,53,302
大卫-温盖特,59,884,45.40%,119,262,43.20%,19,44,66.70%,44,66,114,94,38,8,43,115,301
雷-法利克斯,38,836,41.90%,106,253,0.00%,0,0,70.10%,89,127,290,29,0,0,0,143,301
Bucky0Bockhorn,26,865,40.70%,124,305,0.00%,0,0,77.60%,52,67,103,98,0,0,0,95,300
安德烈斯-诺西奥尼,23,639,43.80%,105,240,36.70%,29,79,78.90%,60,76,139,31,8,13,39,67,299
里夫-拉弗伦茨,35,921,44.60%,123,276,29.70%,22,74,75.00%,30,40,183,18,19,77,27,152,298
德拉赞-皮特洛维奇,29,609,47.40%,119,251,32.40%,11,34,69.60%,48,69,51,42,12,1,50,68,297
阿隆-威廉姆斯,53,912,47.90%,114,238,0.00%,0,1,77.50%,69,89,180,38,14,41,52,173,297
诺里斯-科尔,68,1126,42.10%,110,261,38.20%,39,102,78.30%,36,46,79,98,31,5,57,117,295
贾马尔-廷斯利,41,1012,39.80%,115,289,29.30%,27,92,72.00%,36,50,106,208,51,6,85,127,293
杰纳-班克斯,27,702,50.40%,129,256,0.00%,0,3,59.60%,34,57,137,67,16,4,35,63,292
迈克-斯科特,44,755,46.70%,112,240,33.00%,36,109,84.20%,32,38,146,20,14,4,27,73,292
德里克-费弗斯,31,730,57.40%,116,202,25.00%,2,8,54.80%,57,104,192,29,25,32,24,65,291
内纳德-科斯蒂奇,28,705,50.50%,112,222,0.00%,0,0,76.70%,66,86,152,21,9,20,36,89,290
弗兰克-约翰逊,54,801,39.70%,102,257,27.60%,8,29,85.70%,78,91,63,126,31,0,60,87,290
布奇-贝尔德,32,754,44.40%,115,259,0.00%,0,0,66.30%,59,89,119,88,0,0,0,105,289
香农-布朗,55,766,42.20%,106,251,34.10%,28,82,72.70%,48,66,73,40,26,11,32,74,288
兰迪-布鲁尔,60,870,51.60%,115,223,0.00%,0,0,60.00%,57,95,186,26,23,44,30,129,287
埃里克-丹皮尔,61,1321,54.10%,112,207,0.00%,0,2,52.50%,63,120,370,24,24,60,59,219,287
肯杨-杜林,63,793,44.20%,106,240,38.40%,33,86,82.40%,42,51,53,55,21,7,28,107,287
艾利克斯-汉纳姆,43,0,39.40%,108,274,0.00%,0,0,56.50%,70,124,0,52,0,0,0,199,286
贾维尔-麦基,44,609,61.00%,122,200,0.00%,0,1,54.50%,42,77,191,13,15,54,31,92,286
史蒂夫-库佩斯基,50,614,46.00%,110,239,0.00%,0,0,77.40%,65,84,148,24,0,0,0,85,285
Billy0Kenville,41,761,39.70%,89,224,0.00%,0,0,69.30%,106,153,116,60,0,0,0,103,284
沃恩-弗莱明,37,755,46.60%,109,234,14.30%,2,14,77.10%,64,83,86,114,22,7,57,69,284
迈克尔-里德,16,505,45.20%,99,219,34.00%,16,47,86.40%,70,81,73,32,6,1,36,42,284
迪克-伽马克,21,668,37.90%,96,253,0.00%,0,0,82.10%,92,112,98,67,0,0,0,71,284
迈克-邓利维,32,768,48.00%,95,198,45.10%,51,113,84.00%,42,50,93,61,20,6,30,49,283
米切尔-雷-理查德森,18,712,38.60%,108,280,20.70%,6,29,69.00%,60,87,99,129,50,4,50,63,282
PJ-塔克,35,1114,43.50%,94,216,42.70%,61,143,71.10%,32,45,226,46,29,22,27,99,281
尼克-威瑟斯庞,31,715,48.90%,115,235,0.00%,0,0,69.90%,51,73,150,26,18,8,0,95,281
怀特伊-斯库克,34,931,40.20%,115,286,0.00%,0,0,68.50%,50,73,125,70,0,0,0,130,280
本-西蒙斯,18,650,53.80%,112,208,0.00%,0,1,66.30%,55,83,151,130,27,15,66,60,279
莫里斯-埃文斯,56,934,44.70%,106,237,39.20%,40,102,77.10%,27,35,83,28,28,5,20,80,279
马修-德拉维多瓦,52,972,35.40%,93,263,30.30%,40,132,77.90%,53,68,73,137,13,1,62,94,279
维斯里-珀森,27,783,41.70%,98,235,37.30%,50,134,82.10%,32,39,87,31,14,6,20,36,278
阿尔尼-约翰逊,29,0,38.30%,77,201,0.00%,0,0,75.20%,124,165,0,82,0,0,0,137,278
马克-布莱恩特,79,967,46.90%,113,241,0.00%,0,2,73.20%,52,71,194,14,17,14,44,157,278
马奎斯-丹尼尔斯,65,731,44.90%,105,234,20.80%,5,24,73.30%,63,86,110,63,24,8,46,75,278
Kleggie0Hermsen,26,0,26.10%,86,330,0.00%,0,0,68.90%,104,151,0,29,0,0,0,116,276
内特-罗宾逊,32,544,41.50%,97,234,33.70%,35,104,77.60%,45,58,46,72,18,3,39,55,274
约翰-特雷斯万特,40,862,41.40%,104,251,0.00%,0,0,69.50%,66,95,246,44,0,0,0,115,274
萨姆-拉西,29,1074,40.10%,107,267,0.00%,0,0,77.60%,59,76,287,144,56,44,0,113,274
达尼罗-加里纳利,18,567,37.10%,92,248,29.60%,24,81,83.30%,65,78,90,43,17,5,28,46,273
鲁迪-盖伊,19,614,41.00%,102,249,28.60%,16,56,78.80%,52,66,124,33,20,8,37,44,272
凯文-贾姆伯,31,755,48.60%,121,249,33.30%,5,15,72.70%,24,33,66,56,23,9,23,63,271
Hot0Rod0Hundley,53,1020,32.00%,101,316,0.00%,0,0,71.60%,68,95,149,157,0,0,0,80,270
朱万-霍华德,49,859,39.40%,99,251,0.00%,0,0,75.80%,72,95,159,32,14,8,26,87,270
科勒姆恩-约翰逊,66,1118,46.50%,107,230,0.00%,0,0,60.90%,56,92,238,26,33,52,52,139,270
昆廷-理查德森,36,897,40.40%,95,235,39.70%,50,126,67.40%,29,43,136,37,29,5,28,86,269
格雷格-史密斯,24,783,52.70%,117,222,0.00%,0,0,56.50%,35,62,205,58,0,0,0,79,269
赫姆-吉列姆,36,751,39.70%,120,302,0.00%,0,0,80.60%,29,36,93,108,0,0,0,73,269
Bill0Gabor,36,0,31.00%,92,297,0.00%,0,0,72.80%,83,114,0,74,0,0,0,115,267
埃尔文-约翰逊,77,1582,46.20%,104,225,0.00%,0,0,67.80%,59,87,468,36,39,82,41,219,267
埃迪-豪斯,66,680,39.10%,101,258,36.80%,39,106,86.70%,26,30,65,48,25,4,27,66,267
肯特-贝兹莫尔,41,796,37.90%,96,253,25.40%,29,114,64.80%,46,71,147,54,31,20,39,57,267
萨姆-米切尔,59,854,39.80%,98,246,20.70%,6,29,81.30%,65,80,130,34,10,9,39,122,267
罗恩-安德森,27,621,44.40%,106,239,36.40%,4,11,92.60%,50,54,80,46,11,2,29,58,266
T.R.-邓恩,76,1634,44.70%,109,244,0.00%,0,0,69.10%,47,68,317,104,95,13,51,180,265
布鲁-爱德华兹,34,722,47.30%,107,226,31.30%,5,16,76.70%,46,60,103,44,40,6,55,101,265
杰里-贝勒斯,30,619,37.40%,91,243,31.70%,26,82,81.40%,57,70,62,74,11,8,29,68,265
艾尔-杰弗森,21,548,49.40%,121,245,0.00%,0,1,67.60%,23,34,150,22,14,19,16,45,265
斯塔塞-金,61,719,39.20%,89,227,50.00%,2,4,73.70%,84,114,136,31,21,15,50,98,264
罗尼-布鲁尔,47,852,47.10%,105,223,26.70%,4,15,67.60%,50,74,121,58,36,12,27,61,264
莱恩-安德森,46,931,36.30%,91,251,32.50%,49,151,91.70%,33,36,168,32,17,10,31,96,264
O.J.-梅奥,26,679,34.80%,87,250,35.90%,33,92,82.40%,56,68,86,64,27,6,44,74,263
乔-英格尔斯,27,866,42.70%,94,220,39.50%,58,147,65.40%,17,26,113,98,39,7,50,71,263
阿米尔-约翰逊,52,737,63.30%,114,180,11.10%,1,9,65.40%,34,52,183,28,11,26,41,102,263
C.J.沃特森,48,802,36.30%,94,259,31.40%,27,86,70.10%,47,67,84,95,34,2,39,70,262
埃尔文-罗波特森,13,490,51.50%,102,198,35.30%,6,17,75.40%,52,69,69,81,36,2,39,53,262
杰拉德-华莱士,33,689,45.50%,87,191,33.30%,19,57,72.60%,69,95,128,45,22,17,34,59,262
罗德-希金斯,33,733,43.90%,90,205,29.60%,21,71,81.30%,61,75,113,55,28,22,23,78,262
乔伊-巴里-卡罗尔,19,511,44.90%,105,234,0.00%,0,1,79.70%,51,64,94,26,18,32,38,60,261
迈克尔-凯奇,53,1105,52.30%,113,216,0.00%,0,2,49.30%,35,71,302,30,37,34,39,120,261
阿隆-威廉姆斯,32,671,41.90%,104,248,0.00%,0,0,88.10%,52,59,57,94,0,0,0,76,260
乔治-拉特科维茨,24,0,41.00%,80,195,0.00%,0,0,66.90%,99,148,0,38,0,0,0,94,259
何塞-卡尔德隆,40,645,45.90%,107,233,37.20%,32,86,92.90%,13,14,56,125,15,1,37,67,259
约翰-萨尔蒙斯,28,695,39.30%,92,234,24.30%,18,74,87.70%,57,65,66,50,21,11,27,48,259
罗宾-洛佩斯,28,749,55.30%,105,190,0.00%,0,0,80.30%,49,61,190,17,11,32,27,79,259
里奇-凯雷,45,860,46.70%,92,197,0.00%,0,2,79.80%,75,94,246,105,39,24,69,133,259
马特-邦纳,94,1035,40.20%,90,224,35.50%,49,138,81.10%,30,37,156,35,16,17,21,135,259
乔治-特拉普,31,518,46.20%,115,249,0.00%,0,0,70.00%,28,40,118,23,0,0,0,89,258
弗莱迪-克劳福德,35,606,41.70%,105,252,0.00%,0,0,63.20%,48,76,97,73,0,0,0,89,258
沃利-奥斯特科恩,33,908,35.80%,83,232,0.00%,0,0,58.60%,92,157,207,70,0,0,0,97,258
罗伊-斯帕罗,30,782,41.70%,100,240,31.30%,5,16,80.00%,52,65,51,161,26,1,54,82,257
奥斯汀-里弗斯,30,622,43.10%,100,232,37.50%,33,88,65.70%,23,35,61,38,16,6,30,66,256
罗德尼-胡德,36,706,39.50%,98,248,26.30%,26,99,72.30%,34,47,75,36,12,7,26,73,256
艾尔-法拉利,33,736,39.10%,81,207,0.00%,0,0,72.30%,94,130,79,75,0,0,0,97,256
迈克尔-亚当斯,20,679,37.00%,85,230,32.70%,35,107,85.00%,51,60,67,103,32,2,44,41,256
凯文-马丁,22,571,38.90%,79,203,37.00%,27,73,93.30%,70,75,68,20,11,5,19,34,255
季莫费-莫兹戈夫,40,698,48.90%,92,188,0.00%,0,0,76.30%,71,93,190,18,13,45,50,89,255
泰伦斯-罗斯,36,747,36.50%,91,249,30.50%,43,141,71.40%,30,42,70,24,28,14,36,67,255
马特-古奥卡斯,60,1072,41.70%,101,242,0.00%,0,0,77.60%,52,67,118,98,0,0,0,121,254
拉苏-内斯特洛维奇,64,1102,46.80%,117,250,50.00%,1,2,50.00%,18,36,229,38,13,39,40,160,253
理查德-大仲马/小仲马,26,504,51.90%,108,208,0.00%,0,2,75.50%,37,49,66,24,21,13,28,52,253
艾德-康林,35,665,32.50%,94,289,0.00%,0,0,67.70%,65,96,120,39,0,0,0,60,253
休伯特-戴维斯,49,821,40.90%,92,225,37.30%,31,83,75.00%,36,48,46,44,12,8,48,83,251
保罗-莫科斯基,69,815,48.60%,89,183,25.00%,1,4,74.20%,72,97,207,33,26,23,39,166,251
帕特-莱利,44,641,37.40%,111,297,0.00%,0,0,76.30%,29,38,66,52,0,0,0,86,251
Cliff0Robinson,17,462,47.30%,104,220,0.00%,0,0,63.60%,42,66,122,28,20,13,28,54,250
汤姆-波尔温克勒,35,785,45.90%,107,233,0.00%,0,0,75.00%,36,48,330,123,0,0,0,94,250
J.R.-瑞德,47,784,43.70%,86,197,0.00%,0,3,79.40%,77,97,167,33,23,21,43,135,249
凯利-奥利尼克,31,578,48.70%,93,191,34.70%,26,75,71.20%,37,52,89,58,23,22,38,83,249
唐-Carlson,31,0,29.50%,98,332,0.00%,0,0,63.10%,53,84,0,45,0,0,0,80,249
帕斯卡尔-西亚卡姆,20,485,53.70%,101,188,40.00%,16,40,70.50%,31,44,98,29,8,12,17,49,249
丹尼-费里,67,961,37.40%,92,246,36.80%,46,125,75.00%,18,24,144,63,16,8,27,116,248
乔治-约翰逊,59,1043,55.10%,103,187,0.00%,0,0,61.80%,42,68,361,55,0,0,0,165,248
威利-诺尔斯,35,485,37.10%,99,267,0.00%,0,0,74.60%,50,67,134,21,0,0,0,92,248
尼科拉-约季奇,10,403,49.70%,93,187,39.50%,17,43,84.90%,45,53,126,91,13,9,24,35,248
弗莱德-谢奥斯,21,0,33.90%,78,230,0.00%,0,0,82.00%,91,111,0,55,0,0,0,86,247
李-沙夫,13,387,41.60%,99,238,0.00%,0,0,77.80%,49,63,82,15,0,0,0,41,247
DJ-奥古斯丁,33,672,36.30%,73,201,37.60%,38,101,84.70%,61,72,35,63,13,2,30,53,245
伊恩-克拉克,41,565,47.50%,94,198,35.40%,29,82,90.30%,28,31,53,38,22,2,29,55,245
安东尼-罗伯茨,16,480,42.70%,99,232,0.00%,0,0,77.00%,47,61,121,36,13,7,30,66,245
布兰登-罗伊,15,459,44.20%,88,199,32.60%,14,43,80.90%,55,68,49,39,9,7,20,35,245
贾仑-杰克逊,39,728,36.20%,85,235,33.30%,49,147,65.80%,25,38,89,37,21,1,38,81,244
雷杰-瑟乌斯,17,542,41.00%,89,217,13.30%,2,15,83.10%,64,77,47,97,18,2,48,58,244
沃利-沃克,64,743,45.60%,99,217,0.00%,0,0,69.20%,45,65,123,44,16,11,0,136,243
罗德尼-斯塔基,28,634,38.20%,84,220,28.00%,7,25,84.00%,68,81,56,93,22,3,35,53,243
莫里斯-哈克利斯,25,656,42.50%,94,221,29.50%,23,78,59.30%,32,54,126,25,25,19,25,91,243
史蒂夫-布雷克,53,1076,39.80%,88,221,38.80%,52,134,70.00%,14,20,104,134,25,6,53,72,242
亚历山大-帕夫洛维奇,52,861,38.60%,95,246,33.30%,27,81,53.30%,24,45,82,38,26,6,45,94,241
吉姆-皮特森,46,788,48.50%,97,200,0.00%,0,0,66.20%,47,71,207,37,17,17,33,132,241
迈克·布朗,44,703,44.10%,79,179,0.00%,0,0,79.00%,83,105,163,23,8,5,40,109,241
迈尔斯-特纳,22,653,48.50%,99,204,25.70%,9,35,69.40%,34,49,133,16,11,39,32,78,241
Chico0Vaughn,27,631,43.40%,98,226,0.00%,0,0,72.10%,44,61,62,62,0,0,0,91,240
大卫-李,43,666,49.00%,101,206,0.00%,0,1,66.70%,38,57,189,43,14,8,30,77,240
安东尼-帕克,22,767,43.40%,76,175,40.70%,33,81,79.40%,54,68,88,30,22,7,22,46,239
杰克-乔治,22,776,38.50%,87,226,0.00%,0,0,75.30%,64,85,96,92,0,0,0,60,238
诺曼-鲍威尔,41,613,40.80%,87,213,36.00%,31,86,84.60%,33,39,78,31,27,5,23,55,238
德尼斯-沃特雷,61,1033,51.40%,91,177,0.00%,0,0,58.50%,55,94,251,88,0,0,0,144,237
海伍德-沃克曼,41,892,35.60%,80,225,23.40%,11,47,84.60%,66,78,85,167,44,1,63,97,237
肯巴-沃克,11,414,39.40%,82,208,38.80%,26,67,88.70%,47,53,36,52,17,7,27,16,237
Dick0Garrett,26,641,50.20%,103,205,0.00%,0,0,83.30%,30,36,55,46,0,0,0,75,236
奥尔登-波利尼斯,37,770,54.70%,105,192,50.00%,1,2,54.30%,25,46,221,12,15,22,29,112,236
本诺-尤德里,53,597,38.80%,90,232,26.00%,19,73,80.40%,37,46,54,64,17,1,39,57,236
达夫-斯托沃茨,40,579,40.00%,92,230,0.00%,0,0,76.50%,52,68,137,36,0,0,0,79,236
史蒂夫-霍伊斯,32,712,46.40%,96,207,0.00%,0,0,82.40%,42,51,175,71,23,9,0,86,235
邓台-琼斯,74,621,44.80%,78,174,29.40%,10,34,81.20%,69,85,79,19,20,7,26,92,235
钱德勒-帕森斯,13,524,43.70%,93,213,36.30%,29,80,69.00%,20,29,86,38,5,4,24,39,235
马基夫-莫里斯,24,612,41.90%,88,210,31.60%,18,57,82.00%,41,50,141,37,17,25,29,77,235
艾利克斯-戈洛加,9,0,54.40%,80,147,0.00%,0,0,80.40%,74,92,0,14,0,0,0,35,234
弗兰克-布里克考斯基,37,590,51.40%,93,181,28.00%,7,25,63.50%,40,63,122,39,22,10,50,114,233
格雷格-福斯特,67,866,42.50%,94,221,33.30%,5,15,78.40%,40,51,156,20,8,15,40,149,233
简奈罗-帕戈,41,549,36.20%,83,229,36.70%,40,109,71.10%,27,38,56,62,25,3,33,63,233
米切尔-威金斯,29,539,49.50%,105,212,0.00%,0,3,74.20%,23,31,93,34,19,3,34,55,233
萨鲁纳斯-马修利奥尼斯,17,440,46.90%,75,160,23.80%,5,21,82.10%,78,95,39,61,24,2,28,40,233
Bones0McKinney,23,0,30.60%,82,268,0.00%,0,0,70.80%,68,96,0,25,0,0,0,82,232
康尼尔-霍金斯,12,500,39.50%,83,210,0.00%,0,0,81.50%,66,81,137,57,0,0,0,35,232
西奥-拉特里夫,44,873,49.70%,89,179,0.00%,0,0,64.30%,54,84,188,18,20,67,37,121,232
Em0Bryant,27,758,38.80%,88,227,0.00%,0,0,79.70%,55,69,111,70,0,0,0,104,231
托尼-巴蒂,56,909,49.30%,104,211,0.00%,0,3,55.00%,22,40,216,21,14,50,21,122,230
雷-兰普,38,0,30.70%,75,244,0.00%,0,0,82.30%,79,96,0,57,0,0,0,119,229
唐-布斯,35,940,39.90%,89,223,0.00%,0,0,71.40%,40,56,91,125,37,6,36,60,227
泰伦斯-琼斯,25,573,43.80%,91,208,13.60%,3,22,60.90%,42,69,133,26,13,16,19,46,227
萨姆-文森特,52,546,36.10%,82,227,12.50%,1,8,79.50%,62,78,46,87,16,4,47,54,227
罗恩-布鲁尔,16,411,48.20%,92,191,0.00%,0,0,69.50%,41,59,24,32,8,16,21,30,226
阿尔文-威廉姆斯,18,683,39.60%,93,235,31.00%,13,42,72.20%,26,36,59,78,21,10,24,46,225
马特-盖革,37,531,46.80%,87,186,0.00%,0,1,82.30%,51,62,136,18,18,9,26,90,225
T.J.0Ford,18,436,45.70%,86,188,37.50%,9,24,87.80%,43,49,53,91,15,2,42,37,224
迪克-施耐德,31,572,41.60%,97,233,0.00%,0,0,73.20%,30,41,50,49,0,0,0,55,224
阿尔文-斯科特,61,878,42.70%,88,206,0.00%,0,0,65.30%,47,72,149,78,29,51,52,77,224
埃东多-纳胡拉,59,929,44.30%,85,192,29.40%,5,17,75.00%,48,64,186,31,31,9,34,142,223
布兰登-詹宁斯,25,566,37.20%,80,215,23.80%,20,84,79.60%,43,54,49,65,19,5,28,38,223
约翰-朗,23,534,39.90%,87,218,18.20%,2,11,95.90%,47,49,35,24,28,2,28,54,223
埃里克-曼尼,20,505,45.70%,96,210,0.00%,0,0,78.90%,30,38,42,93,23,1,0,62,222
肯尼-托马斯,23,690,52.90%,90,170,0.00%,0,0,67.70%,42,62,183,31,17,7,36,86,222
莫里斯-皮特森,33,745,45.70%,85,186,38.70%,29,75,76.70%,23,30,87,36,20,8,24,79,222
吉姆·克莱蒙斯,27,667,39.60%,91,230,0.00%,0,0,84.80%,39,46,89,89,0,0,0,50,221
埃里克-威廉姆斯,26,797,44.00%,80,182,37.80%,17,45,77.20%,44,57,102,38,34,4,23,95,221
德肖恩-史蒂文森,42,746,32.70%,70,214,35.30%,47,133,79.10%,34,43,60,42,20,5,25,65,221
乔恩-考恩凯克,53,1028,44.60%,75,168,0.00%,0,0,64.80%,70,108,207,39,27,47,29,171,220
丹尼-杨,53,710,43.00%,80,186,32.20%,19,59,81.60%,40,49,64,119,32,4,37,59,219
